artista,diferencia,
Pedro Marín,2982
Javier Álvarez,1939
Los Romeos,1927
21 Japonesas,1887
Andrés do Barro,1851
Alphaville,1840
Sindicato Malone,1566
David Santisteban,1500
Greta y los Garbo,1500
Chantal Goya,1400
Tahúres Zurdos,1381
Mercedes Ferrer,1263
Rafael Conde,1213
Santiago Auserón,1173
Paco Clavel,1055
Shirley Bassey,1018
Los Flechazos,1000
Alarma!!!,983
Ciudad Jardín,828
Las Migas,802
Torrebruno,793
Amanda Lear,756
Germán Coppini,743
Esclarecidos,730
Teresa Rabal,729
Chenta Tsai,721
Objetivo Birmania,682
Los Limones,670
Sandro Giacobbe,661
Samantha Fox,661
Astrud,635
Undershakers,633
Francisco Nixon,628
Los Negativos,616
Tontxu,600
Glutamato Ye-Yé,596
Papá Levante,588
Los Payos,580
Vulpes,550
Los lunes que quedan,533
La Dama se Esconde,528
Los Tigres,500
Iván,495
Enrique y Ana,489
Los Sencillos,482
All Saints,451
Decibelios,451
Josele Santiago,450
Mari Trini,442
La Guardia,440
Anita Ward,436
Les Surfs,436
Sandie Shaw,415
José Ángel Hevia,400
Raimon,397
Russian Red,381
Texas,376
Emilio José,366
Grace Jones,365
Nosoträsh,360
Sr. Chinarro,352
Adam_&_the_Ants,338
Tam Tam Go!,335
Tino Casal,333
Álex de la Nuez,332
Tonino Carotone,332
Glenn Medeiros,329
Pablo Abraira,325
El Niño de Elche,310
